125	875
135	875
145	875
155	875
165	876
175	876
185	876
195	875
205	875
215	875
225	875
235	875
245	875
255	875
265	874
275	874
285	874
295	874
305	874
315	874
325	874
335	874
345	874
350	866
350	856
350	846
350	836
350	826
350	816
350	806
350	796
350	786
350	776
350	766
350	756
350	746
350	736
350	726
350	716
350	706
350	696
350	686
350	676
350	666
350	656
350	646
350	636
349	626
349	616
349	606
349	596
351	586
360	576
370	567
380	559
390	550
400	541
410	532
420	523
430	514
440	505
450	496
460	487
470	477
480	468
490	459
500	450
510	441
520	432
530	422
540	413
550	404
560	394
570	385
580	375
590	366
600	357
610	347
620	338
630	328
640	319
650	309
660	299
670	290
680	280
690	270
700	261
710	251
720	241
730	231
740	221
744	211
747	201
755	191
759	181
763	171
773	162
779	153
771	144
761	137
755	127
752	117
753	107
752	97
749	87
742	77
739	67
740	57
741	47
750	43
756	34
753	24
744	17
734	16
724	15
714	14
704	13
694	12
684	11
674	10
664	10
654	8
644	8
634	7
624	6
614	5
604	4
594	3
584	2
574	1
564	0
557	9
550	19
550	29
549	39
546	49
540	59
532	69
522	78
512	86
502	94
492	101
482	104
472	103
466	111
464	121
457	130
447	131
437	130
427	132
417	136
407	142
400	152
390	160
380	164
370	164
360	165
350	168
340	170
330	170
320	168
310	175
303	183
304	193
304	203
301	213
303	223
297	232
287	236
285	246
282	256
272	262
264	272
254	280
249	290
241	300
234	310
227	320
218	328
210	337
208	347
206	357
210	365
216	373
217	383
211	393
201	394
191	397
182	406
174	416
172	426
171	436
166	446
165	456
165	466
162	476
152	482
142	490
132	492
131	501
131	511
125	521
120	531
111	539
102	548
94	558
84	568
76	578
78	588
75	598
71	608
69	618
69	628
72	638
71	648
67	658
62	668
55	678
48	688
38	696
30	706
28	716
27	726
30	736
35	746
40	756
44	766
47	776
44	786
47	796
49	806
51	816
50	826
47	836
44	846
38	856
40	866
44	875
54	874
64	874
74	874
84	875
94	875
104	875
114	875
